location_id,area,city,region,postalcode
1,"Άγιος Ελευθέριος",Αθήνα,ΑΤΤΙΚΗ,11144
2,"Άγιος Κωνσταντίνος - Πλατεία Βάθης",Αθήνα,ΑΤΤΙΚΗ,12244
3,"Άνω Κυψέλη",Αθήνα,ΑΤΤΙΚΗ,11476
4,"Άνω Πατήσια",Αθήνα,ΑΤΤΙΚΗ,11141
5,"Α΄ Νεκροταφείο",Αθήνα,ΑΤΤΙΚΗ,12121
6,"Ακαδημία Πλάτωνος",Αθήνα,ΑΤΤΙΚΗ,10441
7,Ακρόπολη,Αθήνα,ΑΤΤΙΚΗ,11741
8,Αμπελόκηποι,Αθήνα,ΑΤΤΙΚΗ,11524
9,Βοτανικός,Αθήνα,ΑΤΤΙΚΗ,11854
10,Γκάζι,Αθήνα,ΑΤΤΙΚΗ,11854
11,Γκύζη,Αθήνα,ΑΤΤΙΚΗ,11522
12,Γουδή,Αθήνα,ΑΤΤΙΚΗ,15773
13,Γούβα,Αθήνα,ΑΤΤΙΚΗ,11743
14,Ελληνορώσων,Αθήνα,ΑΤΤΙΚΗ,15451
15,Ζάππειο,Αθήνα,ΑΤΤΙΚΗ,14591
16,Θησείο,Αθήνα,ΑΤΤΙΚΗ,11854
17,Ιλίσια,Αθήνα,ΑΤΤΙΚΗ,11528
18,Κεραμεικός,Αθήνα,ΑΤΤΙΚΗ,10553
19,Κολοκυνθού,Αθήνα,ΑΤΤΙΚΗ,12242
20,Κολωνάκι,Αθήνα,ΑΤΤΙΚΗ,10672
21,Κολωνός,Αθήνα,ΑΤΤΙΚΗ,10441
22,"Κουκάκι - Μακρυγιάννη",Αθήνα,ΑΤΤΙΚΗ,11742
23,Κυψέλη,Αθήνα,ΑΤΤΙΚΗ,11362
24,Λυκαβηττός,Αθήνα,ΑΤΤΙΚΗ,11521
25,"Μουσείο - Εξάρχεια",Αθήνα,ΑΤΤΙΚΗ,10682
26,"Νέα Κυψέλη",Αθήνα,ΑΤΤΙΚΗ,11363
27,"Νέος Κόσμος",Αθήνα,ΑΤΤΙΚΗ,11745
28,Νιρβάνα,Αθήνα,ΑΤΤΙΚΗ,11145
29,Παγκράτι,Αθήνα,ΑΤΤΙΚΗ,11632
30,Πανεπιστημιούπολη-Ζωγράφου,Αθήνα,ΑΤΤΙΚΗ,16121
31,Πατήσια,Αθήνα,ΑΤΤΙΚΗ,11666
32,"Πεδίον Άρεως",Αθήνα,ΑΤΤΙΚΗ,11474
33,Πεντάγωνο,Αθήνα,ΑΤΤΙΚΗ,11433
34,Πετράλωνα,Αθήνα,ΑΤΤΙΚΗ,11444
35,Πλάκα,Αθήνα,ΑΤΤΙΚΗ,10558
36,"Πλατεία Αμερικής",Αθήνα,ΑΤΤΙΚΗ,11252
37,"Πλατεία Αττικής",Αθήνα,ΑΤΤΙΚΗ,10440
38,Πολύγωνο,Αθήνα,ΑΤΤΙΚΗ,11522
39,Προμπονά,Αθήνα,ΑΤΤΙΚΗ,11143
40,Ρηγίλλης,Αθήνα,ΑΤΤΙΚΗ,10674
41,Ριζούπολη,Αθήνα,ΑΤΤΙΚΗ,11143
42,Ρουφ,Αθήνα,ΑΤΤΙΚΗ,11855
43,Σεπόλια,Αθήνα,ΑΤΤΙΚΗ,10444
44,Στάδιο,Αθήνα,ΑΤΤΙΚΗ,13444
45,"Σταθμός Λαρίσης",Αθήνα,ΑΤΤΙΚΗ,10445
46,"Άγιος Μηνάς",Ηράκλειο,ΚΡΗΤΗ,71201
47,Βούτες,Ηράκλειο,ΚΡΗΤΗ,70013
48,Γάζι,Ηράκλειο,ΚΡΗΤΗ,71414
49,Γούβες,Ηράκλειο,ΚΡΗΤΗ,70014
50,Καλαμάκι,Ηράκλειο,ΚΡΗΤΗ,70200
51,"Καλοί Λιμένες",Ηράκλειο,ΚΡΗΤΗ,70400
